Part E - Locally Implemented Funding Formula,,,,,,,,,,,,,,
Are schools allocated a sizeable portion of their funding via a locally implemented formula?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310200011282,Urban Assembly Maker Academy,02M282,"$5,465,444","$5,465,444",$0,100.00%,"$338,081","$1,517,919","$7,321,444","$7,321,444",$0,"$8,364,442",87.53%,"$1,042,997"
310200011288,Food and Finance High School,02M288,"$4,827,798","$4,827,798",$0,100.00%,"$338,081","$1,348,249","$6,514,128","$6,514,128",$0,"$8,236,547",79.09%,"$1,722,419"
310200010289,I.S. 289,02M289,"$2,030,607","$2,030,607",$0,100.00%,"$338,081","$608,816","$2,977,504","$2,977,504",$0,"$4,008,560",74.28%,"$1,031,056"
310200010290,P.S. 290 Manhattan New School,02M290,"$2,367,289","$2,367,289",$0,100.00%,"$338,081","$721,766","$3,427,136","$3,427,136",$0,"$6,731,637",50.91%,"$3,304,501"
310200011294,Essex Street Academy,02M294,"$3,382,919","$3,382,919",$0,100.00%,"$338,081","$1,047,837","$4,768,837","$4,768,837",$0,"$6,222,646",76.64%,"$1,453,809"
310200011296,High School of Hospitality Management,02M296,"$1,503,509","$1,503,509",$0,100.00%,"$338,081","$532,530","$2,374,119","$2,374,119",$0,"$4,502,290",52.73%,"$2,128,171"
310200010297,M.S. 297,02M297,"$3,887,066","$3,887,066",$0,100.00%,"$338,081","$1,088,919","$5,314,066","$5,314,066",$0,"$8,170,794",65.04%,"$2,856,728"
310200011298,Pace High School,02M298,"$5,505,585","$5,505,585",$0,100.00%,"$338,081","$1,601,778","$7,445,444","$7,445,444",$0,"$9,268,172",80.33%,"$1,822,728"
310200011300,"Urban Assembly School of Design and Construction, The",02M300,"$2,207,624","$2,207,624",$0,100.00%,"$338,081","$669,101","$3,214,806","$3,214,806",$0,"$5,017,053",64.08%,"$1,802,248"
310200011303,"Facing History School, The",02M303,"$3,582,523","$3,582,523",$0,100.00%,"$338,081","$973,848","$4,894,453","$4,894,453",$0,"$7,066,484",69.26%,"$2,172,032"
310200011305,"Urban Assembly Academy of Government and Law, The",02M305,"$2,851,095","$2,851,095",$0,100.00%,"$338,081","$881,382","$4,070,559","$4,070,559",$0,"$5,463,491",74.50%,"$1,392,933"
310200011308,Lower Manhattan Arts Academy,02M308,"$3,456,075","$3,456,075",$0,100.00%,"$338,081","$843,421","$4,637,577","$4,637,577",$0,"$6,536,870",70.94%,"$1,899,292"
310200010312,New York City Lab Middle School for Collaborative Studies,02M312,"$4,225,475","$4,225,475",$0,100.00%,"$338,081","$1,176,031","$5,739,587","$5,739,587",$0,"$8,776,640",65.40%,"$3,037,053"
310200011313,"James Baldwin School, The: A School for Expeditionary Learning",02M313,"$2,096,415","$2,096,415",$0,100.00%,"$338,081","$597,522","$3,032,018","$3,032,018",$0,"$4,378,019",69.26%,"$1,346,001"
310200011316,"Urban Assembly School of Business for Young Women, The",02M316,"$839,997","$839,997",$0,100.00%,"$338,081","$295,582","$1,473,660","$1,473,660",$0,"$2,530,750",58.23%,"$1,057,091"
310200010340,Sixth Avenue Elementary School,02M340,"$1,805,351","$1,805,351",$0,100.00%,"$338,081","$618,549","$2,761,981","$2,761,981",$0,"$5,851,241",47.20%,"$3,089,260"
310200010343,The Peck Slip School,02M343,"$2,355,097","$2,355,097",$0,100.00%,"$338,081","$739,364","$3,432,543","$3,432,543",$0,"$6,235,063",55.05%,"$2,802,521"
310200010347,The 47 American Sign Language & English Lower School,02M347,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
310200011374,Gramercy Arts High School,02M374,"$4,811,473","$4,811,473",$0,100.00%,"$338,081","$1,261,622","$6,411,177","$6,411,177",$0,"$8,196,525",78.22%,"$1,785,348"
310200011376,NYC iSchool,02M376,"$4,676,819","$4,676,819",$0,100.00%,"$338,081","$1,282,507","$6,297,407","$6,297,407",$0,"$7,392,211",85.19%,"$1,094,804"
310200011392,Manhattan Business Academy,02M392,"$3,930,944","$3,930,944",$0,100.00%,"$338,081","$1,172,727","$5,441,752","$5,441,752",$0,"$6,899,089",78.88%,"$1,457,337"
310200011393,Business of Sports School,02M393,"$4,523,094","$4,523,094",$0,100.00%,"$338,081","$1,343,587","$6,204,762","$6,204,762",$0,"$8,193,974",75.72%,"$1,989,212"
310200011394,Emma Lazarus High School,02M394,"$3,384,920","$3,384,920",$0,100.00%,"$338,081","$690,840","$4,413,841","$4,413,841",$0,"$5,211,853",84.69%,"$798,012"
310200010397,Spruce Street School,02M397,"$3,367,829","$3,367,829",$0,100.00%,"$338,081","$1,063,615","$4,769,525","$4,769,525",$0,"$8,021,034",59.46%,"$3,251,508"
310200011399,The High School for Language and Diplomacy,02M399,"$1,428,370","$1,428,370",$0,100.00%,"$338,081","$473,254","$2,239,705","$2,239,705",$0,"$3,753,250",59.67%,"$1,513,545"
310200011400,High School for Environmental Studies,02M400,"$8,715,576","$8,715,576",$0,100.00%,"$338,081","$2,489,697","$11,543,354","$11,543,354",$0,"$14,705,150",78.50%,"$3,161,797"
310200011407,Institute for Collaborative Education,02M407,"$4,067,396","$4,067,396",$0,100.00%,"$338,081","$1,222,896","$5,628,373","$5,628,373",$0,"$6,295,175",89.41%,"$666,802"
310200011408,Professional Performing Arts High School,02M408,"$5,704,968","$5,704,968",$0,100.00%,"$338,081","$1,086,902","$7,129,951","$7,129,951",$0,"$7,665,285",93.02%,"$535,334"
310200011411,Baruch College Campus High School,02M411,"$4,194,906","$4,194,906",$0,100.00%,"$338,081","$1,200,114","$5,733,101","$5,733,101",$0,"$6,758,852",84.82%,"$1,025,751"
310200010412,N.Y.C. Lab School for Collaborative Studies,02M412,"$3,792,309","$3,792,309",$0,100.00%,"$338,081","$1,046,606","$5,176,996","$5,176,996",$0,"$10,563,894",49.01%,"$5,386,898"
310200010413,School of the Future High School,02M413,"$7,118,228","$7,118,228",$0,100.00%,"$338,081","$2,006,709","$9,463,018","$9,463,018",$0,"$11,167,626",84.74%,"$1,704,608"
310200010414,N.Y.C. Museum School,02M414,"$4,179,150","$4,179,150",$0,100.00%,"$338,081","$1,170,252","$5,687,483","$5,687,483",$0,"$6,908,296",82.33%,"$1,220,813"
310200010416,Eleanor Roosevelt High School,02M416,"$4,415,359","$4,170,153",$0,105.88%,"$338,081","$1,221,400","$5,974,840","$5,660,943",$0,"$6,908,278",86.49%,"$933,439"
310200010418,Millennium High School,02M418,"$4,495,602","$4,495,602",$0,100.00%,"$338,081","$1,263,755","$6,097,438","$6,097,438",$0,"$7,664,484",79.55%,"$1,567,047"
310200011419,Landmark High School,02M419,"$3,800,307","$3,800,307",$0,100.00%,"$338,081","$1,138,683","$5,277,071","$5,277,071",$0,"$7,119,859",74.12%,"$1,842,788"
310200011420,High School for Health Professions and Human Services,02M420,"$13,652,361","$13,652,361",$0,100.00%,"$338,081","$3,824,561","$17,815,003","$17,815,003",$0,"$22,297,100",79.90%,"$4,482,097"
310200011422,Quest to Learn,02M422,"$5,429,844","$5,429,844",$0,100.00%,"$338,081","$1,558,882","$7,326,807","$7,326,807",$0,"$10,775,215",68.00%,"$3,448,408"
310200011425,Leadership and Public Service High School,02M425,"$2,191,980","$2,191,980",$0,100.00%,"$338,081","$633,604","$3,163,665","$3,163,665",$0,"$4,863,111",65.05%,"$1,699,446"
310200011427,Manhattan Academy for Arts & Language,02M427,"$2,122,400","$2,122,400",$0,100.00%,"$338,081","$681,105","$3,141,586","$3,141,586",$0,"$4,016,396",78.22%,"$874,810"
310200011432,Murray Hill Academy,02M432,"$2,365,313","$2,365,313",$0,100.00%,"$338,081","$751,302","$3,454,696","$3,454,696",$0,"$5,166,768",66.86%,"$1,712,072"
310200011437,Hudson High School of Learning Technologies,02M437,"$2,352,690","$2,352,690",$0,100.00%,"$338,081","$664,205","$3,354,976","$3,354,976",$0,"$5,102,613",65.75%,"$1,747,637"
310200011438,International High School at Union Square,02M438,"$3,524,932","$3,524,932",$0,100.00%,"$338,081","$1,047,619","$4,910,632","$4,910,632",$0,"$6,084,127",80.71%,"$1,173,495"
