BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
342700010043,P.S. 043,27Q043,"$5,651,429.00","$5,651,429.00",$0.00,100.00%,"$338,081.00","$1,622,619.00","$7,612,129.00","$7,612,129.00",$0.00,"$14,139,608.00",53.84%,"$6,527,479.00"
342700010045,P.S. 045 Clarence Witherspoon,27Q045,"$1,822,767.00","$1,822,767.00",$0.00,100.00%,"$338,081.00","$595,115.00","$2,755,963.00","$2,755,963.00",$0.00,"$6,340,280.00",43.47%,"$3,584,317.00"
342700010047,P.S. 047 Chris Galas,27Q047,"$1,868,972.00","$1,868,972.00",$0.00,100.00%,"$338,081.00","$656,503.00","$2,863,556.00","$2,863,556.00",$0.00,"$6,770,997.00",42.29%,"$3,907,441.00"
342700010051,P.S. 051,27Q051,"$1,188,751.00","$1,188,751.00",$0.00,100.00%,"$338,081.00","$358,746.00","$1,885,578.00","$1,885,578.00",$0.00,"$3,943,548.00",47.81%,"$2,057,970.00"
342700010053,M.S. 053 Brian Piccolo,27Q053,"$2,603,476.00","$2,603,476.00",$0.00,100.00%,"$338,081.00","$801,200.00","$3,742,757.00","$3,742,757.00",$0.00,"$5,776,275.00",64.80%,"$2,033,518.00"
342700010056,P.S. 056 Harry Eichler,27Q056,"$2,914,637.00","$2,914,637.00",$0.00,100.00%,"$338,081.00","$886,566.00","$4,139,284.00","$4,139,284.00",$0.00,"$6,441,314.00",64.26%,"$2,302,030.00"
342700010060,P.S. 060 Woodhaven,27Q060,"$7,660,382.00","$7,660,382.00",$0.00,100.00%,"$338,081.00","$2,103,636.00","$10,102,098.00","$10,102,098.00",$0.00,"$16,508,425.00",61.19%,"$6,406,326.00"
342700010062,P. S. 62 - Chester Park School,27Q062,"$6,015,476.00","$6,015,476.00",$0.00,100.00%,"$338,081.00","$1,776,096.00","$8,129,653.00","$8,129,653.00",$0.00,"$12,837,735.00",63.33%,"$4,708,083.00"
342700010063,P.S. 063 Old South,27Q063,"$7,368,851.00","$7,368,851.00",$0.00,100.00%,"$338,081.00","$2,254,839.00","$9,961,771.00","$9,961,771.00",$0.00,"$17,344,357.00",57.44%,"$7,382,586.00"
342700010064,P.S. 064 Joseph P. Addabbo,27Q064,"$4,083,384.00","$4,083,384.00",$0.00,100.00%,"$338,081.00","$1,174,126.00","$5,595,591.00","$5,595,591.00",$0.00,"$8,781,223.00",63.72%,"$3,185,632.00"
