School Name,Number Tested,Mean Scale Score
I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,186179,428.37931034482756
I.S. 98 BAY ACADEMY,133977,456.7232142857143
I.S. R002 GEORGE L. EGBERT,83026,415.5273109243698
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,21445,399.29245283018867
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",23833,392.28115942028984
ICAHN CHARTER SCHOOL,2896,405.1020408163265
ICAHN CHARTER SCHOOL 2,2714,411.25531914893617
ICAHN CHARTER SCHOOL 3,2554,406.4130434782609
ICAHN CHARTER SCHOOL 4,2428,430.4418604651163
ICAHN CHARTER SCHOOL 5,1816,448.55882352941177
ICAHN CHARTER SCHOOL 6,1584,462.22222222222223
ICAHN CHARTER SCHOOL 7,962,480.8
IMAGINE ME LEADERSHIP CHARTER SCHOOL,1490,405.92
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),33064,381.91620111731845
INSTITUTE FOR COLLABORATIVE EDUCATION,2265,386.5777777777778
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,10590,396.7713004484305
INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,5788,377.1515151515151
IRWIN ALTMAN MIDDLE SCHOOL 172,81927,432.5051124744376
ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,18220,397.99686520376173
J.H.S. 008 RICHARD S. GROSSLEY,41466,404.48034934497815
J.H.S. 014 SHELL BANK,49697,412.8565310492505
J.H.S. 022 JORDAN L. MOTT,40769,393.5541237113402
J.H.S. 050 JOHN D. WELLS,21864,400.48450704225354
J.H.S. 054 BOOKER T. WASHINGTON,57808,438.4556354916067
J.H.S. 062 DITMAS,96272,420.4029850746269
J.H.S. 067 LOUIS PASTEUR,63985,446.64179104477614
J.H.S. 074 NATHANIEL HAWTHORNE,92484,442.90436590436593
J.H.S. 078 ROY H. MANN,63581,410.05970149253733
J.H.S. 080 THE MOSHOLU PARKWAY,54370,386.7957746478873
J.H.S. 088 PETER ROUGET,94764,415.9095022624434
J.H.S. 098 HERMAN RIDDER,18822,409.4114114114114
J.H.S. 104 SIMON BARUCH,86443,424.8004338394794
J.H.S. 118 WILLIAM W. NILES,104877,417.172268907563
J.H.S. 123 JAMES M. KIERAN,40483,404.9685230024213
J.H.S. 127 THE CASTLE HILL,72953,415.504329004329
J.H.S. 131 ALBERT EINSTEIN,50561,400.83088235294116
J.H.S. 143 ELEANOR ROOSEVELT,27735,398.22898550724636
J.H.S. 144 MICHELANGELO,50815,408.6328502415459
J.H.S. 157 STEPHEN A. HALSEY,122900,430.62448979591835
J.H.S. 162 THE WILLOUGHBY,36666,401.3236842105263
J.H.S. 167 ROBERT F. WAGNER,117687,440.364
J.H.S. 185 EDWARD BLEEKER,136250,434.73949579831935
J.H.S. 189 DANIEL CARTER BEARD,65304,425.3652561247216
J.H.S. 190 RUSSELL SAGE,81406,403.6144859813084
J.H.S. 194 WILLIAM CARR,106368,434.5226781857451
J.H.S. 202 ROBERT H. GODDARD,97762,415.9758064516129
J.H.S. 210 ELIZABETH BLACKWELL,161492,415.08620689655174
J.H.S. 216 GEORGE J. RYAN,134744,444.1431451612903
J.H.S. 217 ROBERT A. VAN WYCK,107057,402.16336633663366
J.H.S. 218 JAMES P. SINNOTT,40248,399.490990990991
J.H.S. 220 JOHN J. PERSHING,136157,431.13392857142856
J.H.S. 223 THE MONTAUK,84624,421.0626349892009
J.H.S. 226 VIRGIL I. GRISSOM,91522,404.07081545064375
J.H.S. 227 EDWARD B. SHALLOW,140192,424.58666666666664
J.H.S. 234 ARTHUR W. CUNNINGHAM,176465,437.8243512974052
J.H.S. 259 WILLIAM MCKINLEY,167397,440.43949044585986
J.H.S. 278 MARINE PARK,98468,423.6659793814433
J.H.S. 291 ROLAND HAYES,31781,388.32
J.H.S. 292 MARGARET S. DOUGLAS,55141,411.94408602150537
J.H.S. 383 PHILIPPA SCHUYLER,69518,422.03617021276597
JAMAICA CHILDREN'S SCHOOL,2309,543.2696629213483
JAMES WELDON JOHNSON,47113,406.16843702579666
JEAN NUZZI INTERMEDIATE SCHOOL,91555,407.89978213507624
JOHN ERICSSON MIDDLE SCHOOL 126,26825,404.3777777777778
JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,5058,407.2162162162162
JONAS BRONCK ACADEMY,25067,424.8814432989691
JOSEPH F. QUINN INTERMEDIATE SCHOOL 77,90105,405.5773420479303
JUAN MOREL CAMPOS SECONDARY SCHOOL,17927,376.8640483383686
KAPPA,22536,413.46753246753246
KAPPA III,30979,410.8128205128205
