School Name,Number Tested,Mean Scale Score
NAPLES STREET ELEMENTARY SCHOOL,6024,549.1286549707602
NEIGHBORHOOD SCHOOL,3032,375.2865168539326
NEW 2021 D.24 MS IN BUILDING Q419,1978,435.1818181818182
NEW BRIDGES ELEMENTARY,9881,469.2707423580786
NEW DESIGN MIDDLE SCHOOL,14175,388.08053691275165
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",62458,458.257048092869
NEW HEIGHTS MIDDLE SCHOOL,22127,412.7256097560976
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS,18430,403.5640326975477
NEW PATHWAYS ACADEMY,5236,545.5178571428571
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,48301,439.49653579676675
NEW YORK CITY ACADEMY FOR DISCOVERY,17710,414.405684754522
NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,54428,446.27923627684964
NORMA ADAMS CLEMONS ACADEMY,31681,413.13684210526316
NORTH BRONX SCHOOL OF EMPOWERMENT,31850,414.360103626943
ONE WORLD MIDDLE SCHOOL AT EDENWALD,31970,413.6770833333333
P. S. 62 - CHESTER PARK SCHOOL,42137,426.2372093023256
P.S. /I.S. 384 FRANCES E. CARTER,27892,401.5875
P.S. 001 ALFRED E. SMITH,15077,411.20533333333333
P.S. 001 COURTLANDT SCHOOL,23647,397.14714714714717
P.S. 001 THE BERGEN,49455,415.49038461538464
P.S. 001 TOTTENVILLE,21804,428.60497237569064
P.S. 002 ALFRED ZIMBERG,29760,426.3432494279176
P.S. 002 MEYER LONDON,27092,425.93617021276594
P.S. 003 CHARRETTE SCHOOL,28153,436.1770573566085
P.S. 003 THE BEDFORD VILLAGE,14926,396.4469453376206
P.S. 003 THE MARGARET GIOIOSA SCHOOL,43493,426.4973821989529
P.S. 004 DUKE ELLINGTON,24169,403.08839779005524
P.S. 004 MAURICE WOLLIN,34701,431.1439393939394
P.S. 005 DR. RONALD MCNAIR,6401,397.2232558139535
P.S. 005 ELLEN LURIE,24021,398.46944444444443
P.S. 005 HUGUENOT,9295,454.4923076923077
P.S. 006 LILLIE D. BLAKE,28177,446.66223404255317
P.S. 006 WEST FARMS,20333,401.3516129032258
P.S. 007 ABRAHAM LINCOLN,40689,410.55324074074076
P.S. 007 LOUIS F. SIMEONE,37526,457.85263157894735
P.S. 007 SAMUEL STERN,18161,408.81322957198444
P.S. 008 ISAAC VARIAN,48359,412.38530066815144
P.S. 008 LUIS BELLIARD,18344,407.0394736842105
P.S. 009 SARAH ANDERSON,26345,440.286432160804
P.S. 011 HIGHBRIDGE,27630,404.5266106442577
P.S. 011 KATHRYN PHELAN,63186,425.64
P.S. 011 PURVIS J. BEHAN,30954,436.42547425474254
P.S. 011: THE SARAH J. GARNET ELEMENTARY SCHOOL,38969,434.92723004694835
P.S. 012 JAMES B. COLGATE,58939,428.1990632318501
P.S. 013 CLEMENT C. MOORE,70007,424.27433628318585
P.S. 013 M. L. LINDEMEYER,41101,422.9086956521739
P.S. 013 ROBERTO CLEMENTE,16247,400.3468013468013
P.S. 014 FAIRVIEW,83627,409.9864253393665
P.S. 015 JACKIE ROBINSON,17313,425.55629139072846
P.S. 015 PATRICK F. DALY,11666,418.4833836858006
P.S. 015 ROBERTO CLEMENTE,4818,415.7381974248927
P.S. 016 JOHN J. DRISCOLL,26665,392.21963824289406
P.S. 016 LEONARD DUNKLY,7487,398.24045801526717
P.S. 016 WAKEFIELD,18240,405.76539589442814
P.S. 017 HENRY D. WOODWORTH,11917,407.7938461538462
P.S. 017 HENRY DAVID THOREAU,23065,417.9933184855234
P.S. 018 EDWARD BUSH,5470,409.969696969697
P.S. 018 JOHN G. WHITTIER,22332,410.36260623229464
P.S. 018 JOHN PETER ZENGER,22577,405.53025936599425
P.S. 018 PARK TERRACE,17761,371.24943310657596
P.S. 018 WINCHESTER,25059,436.6554404145078
P.S. 019 JUDITH K. WEISS,33494,423.04229607250755
P.S. 019 MARINO JEANTET,90702,419.4175
P.S. 019 THE CURTIS SCHOOL,25701,412.22636815920396
P.S. 020 ANNA SILVER,19033,409.2994791666667
P.S. 020 CLINTON HILL,14601,428.42815249266863
P.S. 020 JOHN BOWNE,60520,421.8075221238938
P.S. 020 PORT RICHMOND,21217,399.58045977011494
P.S. 021 CRISPUS ATTUCKS,21631,428.39130434782606
P.S. 021 EDWARD HART,63367,431.79333333333335
P.S. 021 PHILIP H. SHERIDAN,33153,407.684350132626
P.S. 022 GRANITEVILLE,47762,415.8752642706131
P.S. 022 THOMAS JEFFERSON,38187,430.72365339578454
P.S. 023 CARTER G. WOODSON,8710,409.6
P.S. 023 RICHMONDTOWN,24531,432.9700272479564
P.S. 023 THE NEW CHILDREN'S SCHOOL,19342,388.7546583850932
P.S. 024,26623,399.75783475783476
P.S. 024 ANDREW JACKSON,53782,431.46555819477436
P.S. 024 SPUYTEN DUYVIL,36976,428.11442786069654
P.S. 025 BILINGUAL SCHOOL,14028,410.07817589576547
P.S. 025 EUBIE BLAKE SCHOOL,3677,375.7752808988764
P.S. 026 JESSE OWENS,7550,422.58527131782944
P.S. 026 RUFUS KING,30298,435.7581395348837
P.S. 026 THE CARTERET SCHOOL,8896,436.3488372093023
P.S. 028 MOUNT HOPE,26540,413.13529411764705
P.S. 028 WRIGHT BROTHERS,28136,404.5657894736842
P.S. 029 BARDWELL,33676,428.5448113207547
P.S. 029 JOHN M. HARRIGAN,31243,437.92929292929296
P.S. 029 QUEENS,33834,417.1912442396313
P.S. 030 HERNANDEZ/HUGHES,8112,391.9280303030303
P.S. 030 WESTERLEIGH,37622,428.488038277512
P.S. 030 WILTON,22814,405.78977272727275
P.S. 031 BAYSIDE,22232,426.4651162790698
P.S. 031 SAMUEL F. DUPONT,19851,431.80913978494624
P.S. 031 WILLIAM T. DAVIS,17327,394.046439628483
P.S. 032 BELMONT,32737,412.18207282913164
P.S. 032 SAMUEL MILLS SPROLE,15997,429.01295336787564
P.S. 032 STATE STREET,45544,433.50786516853935
P.S. 032 THE GIFFORD SCHOOL,32574,430.1005291005291
P.S. 033 CHELSEA PREP,25387,437.5197215777262
P.S. 033 EDWARD M. FUNK,46355,424.2789256198347
P.S. 033 TIMOTHY DWIGHT,41636,407.96135265700485
P.S. 034 FRANKLIN D. ROOSEVELT,18112,399.5
P.S. 034 JOHN HARVARD,25905,422.8095238095238
P.S. 034 OLIVER H. PERRY,16663,429.6317365269461
P.S. 035 FRANZ SIEGEL,27933,410.425
P.S. 035 NATHANIEL WOODHULL,29420,412.74
P.S. 036 J. C. DRUMGOOLE,38353,435.49322493224935
P.S. 036 MARGARET DOUGLAS,14079,404.47003154574134
P.S. 036 SAINT ALBANS SCHOOL,18430,424.2018927444795
P.S. 036 UNIONPORT,30699,423.5215419501134
